id	name	extra	desc
2365	'perfect' gold bar	Members	It's a bar of 'perfect' gold.
446	'perfect' gold ore	Members	This needs refining.
774	'perfect' necklace	Members	A perfect ruby necklace.
773	'perfect' ring	Members	A perfect ruby ring.
2299	1/2 anchovy pizza		Half of this pizza has been eaten.
2300	1/2 anchovy pizza		Swap this note at any bank for a 1/2 anchovy pizza.
2295	1/2 meat pizza		Half of this pizza has been eaten.
2296	1/2 meat pizza		Swap this note at any bank for a 1/2 meat pizza.
2291	1/2 plain pizza		Half of this pizza has been eaten.
2292	1/2 plain pizza		Swap this note at any bank for a 1/2 plain pizza.
2303	1/2pineapple pizza	Members	Half of this pizza has been eaten.
2304	1/2pineapple pizza	Members	Swap this note at any bank for a 1/2pineapple pizza.
3731	1/3rds full jug	Members	This jug is one thirds full. It has a 3 painted on it's side.
3726	1/5ths full bucket	Members	This bucket is twenty percent full. It has a 5 painted on it's side.
1893	2/3 cake		Someone has eaten a big chunk of this cake.
1894	2/3 cake		Swap this note at any bank for a 2/3 cake.
1899	2/3 chocolate cake		Someone has eaten a big chunk of this cake.
1900	2/3 chocolate cake		Swap this note at any bank for a 2/3 chocolate cake.
3730	2/3rds full jug	Members	This jug is two thirds full. It has a 3 painted on it's side.
3725	2/5ths full bucket	Members	This bucket is forty percent full. It has a 5 painted on it's side.
3724	3/5ths full bucket	Members	This bucket is sixty percent full. It has a 5 painted on it's side.
3723	4/5ths full bucket	Members	This bucket is eighty percent full. It has a 5 painted on it's side.
293	A key	Members	This will unlock something
298	A key	Members	This will unlock something
1505	A magic scroll	Members	Maybe I should read it...
718	A scribbled note	Members	A scrawled note with spidery writing on it.
1508	A scruffy note	Members	It seems to say "hongorer lure"...
1507	A small key	Members	Quite a small key.
2888	A stone bowl	Members	This is an empty stone bowl.
2889	A stone bowl	Members	This is a stone bowl full of lava.
2969	A used spell	Members	A used druidic spell given to you freely by the spirit of Filliman Tarlock.
2862	Achey tree logs	Members	These logs are longer than normal.
2863	Achey tree logs	Members	Swap this note at any bank for an Achey tree logs.
2613	Adam full helm (g)		Adamant full helm with gold trim.
2614	Adam full helm (g)		Swap this note at any bank for an Adam full helm (g).
2605	Adam full helm (t)		Adamant full helm with trim.
2606	Adam full helm (t)		Swap this note at any bank for an Adam full helm (t).
2611	Adam kiteshield (g)		Adamant kiteshield with gold trim.
2612	Adam kiteshield (g)		Swap this note at any bank for an Adam kiteshield (g).
2603	Adam kiteshield (t)		Adamant kiteshield with trim.
2604	Adam kiteshield (t)		Swap this note at any bank for an Adam kiteshield (t).
2607	Adam platebody (g)		Adamant platebody with gold trim.
2608	Adam platebody (g)		Swap this note at any bank for an Adam platebody (g).
2599	Adam platebody (t)		Adamant platebody with trim.
2600	Adam platebody (t)		Swap this note at any bank for an Adam platebody (t).
2609	Adam platelegs (g)		Adamant platelegs with gold trim.
2610	Adam platelegs (g)		Swap this note at any bank for an Adam platelegs (g).
2601	Adam platelegs (t)		Adamant platelegs with trim.
2602	Adam platelegs (t)		Swap this note at any bank for an Adam platelegs (t).
3475	Adam plateskirt (g)		Adamant plateskirt with gold trim.
3671	Adam plateskirt (g)		Swap this note at any bank for an Adam plateskirt (g).
3474	Adam plateskirt (t)		Adamant plateskirt with trim.
3670	Adam plateskirt (t)		Swap this note at any bank for an Adam plateskirt (t).
1317	Adamant 2h sword		A two handed sword.
1318	Adamant 2h sword		Swap this note at any bank for an Adamant 2h sword.
890	Adamant arrow	Members	Arrows with Adamantite heads.
928	Adamant arrow 2		None
927	Adamant arrow 3		None
926	Adamant arrow 4		None
929	Adamant arrow 5		None
932	Adamant arrow p 2		None
931	Adamant arrow p 3		None
930	Adamant arrow p 4		None
933	Adamant arrow p 5		None
891	Adamant arrow(p)	Members	Venomous looking arrows.
43	Adamant arrowtips	Members	I can make an arrow with these.
1357	Adamant axe		A powerful axe.
1358	Adamant axe		Swap this note at any bank for an Adamant axe.
1371	Adamant battleaxe		A vicious looking axe.
1372	Adamant battleaxe		Swap this note at any bank for an Adamant battleaxe.
1111	Adamant chainbody		A series of connected metal rings.
1112	Adamant chainbody		Swap this note at any bank for an Adamant chainbody.
3100	Adamant claws	Members	A set of fighting claws.
3120	Adamant claws	Members	Swap this note at any bank for an Adamant claws.
1211	Adamant dagger		Short and deadly.
1212	Adamant dagger		Swap this note at any bank for an Adamant dagger.
1227	Adamant dagger(p)	Members	A very dangerous poisoned dagger.
1228	Adamant dagger(p)	Members	Swap this note at any bank for an Adamant dagger(p).
810	Adamant dart	Members	A deadly throwing dart with an adamantite tip.
823	Adamant dart tip	Members	A deadly looking dart tip made of adamantite - needs feathers for flight.
816	Adamant dart(p)	Members	A deadly poisoned dart with an adamantite tip.
1161	Adamant full helm		A full face helmet.
1162	Adamant full helm		Swap this note at any bank for an Adamant full helm.
3200	Adamant halberd	Members	An adamant halberd.
3201	Adamant halberd	Members	Swap this note at any bank for an Adamant halberd.
829	Adamant javelin	Members	An adamantite tipped javelin.
835	Adamant javelin(p)	Members	An adamantite tipped javelin.
1199	Adamant kiteshield		A large metal shield.
1200	Adamant kiteshield		Swap this note at any bank for an Adamant kiteshield.
867	Adamant knife	Members	A finely balanced throwing knife.
875	Adamant knife(p)	Members	A finely balanced throwing knife.
1301	Adamant longsword		A razor sharp longsword.
1302	Adamant longsword		Swap this note at any bank for an Adamant longsword.
1430	Adamant mace		A spiky mace.
1431	Adamant mace		Swap this note at any bank for an Adamant mace.
1145	Adamant med helm		A medium sized helmet.
1146	Adamant med helm		Swap this note at any bank for an Adamant med helm.
1271	Adamant pickaxe		Used for mining.
1272	Adamant pickaxe		Swap this note at any bank for an Adamant pickaxe.
1123	Adamant platebody		Provides excellent protection.
1124	Adamant platebody		Swap this note at any bank for an Adamant platebody.
1073	Adamant platelegs		These look pretty heavy.
1074	Adamant platelegs		Swap this note at any bank for an Adamant platelegs.
1091	Adamant plateskirt		Designer leg protection.
1092	Adamant plateskirt		Swap this note at any bank for an Adamant plateskirt.
